date,open,close,high,low,volume,amount,up,down
2010-12-03,2846.72,2842.43,2853.4,2822.74,96481000,107496554496,345,552
2010-12-06,2850.38,2857.18,2871.41,2831.7,103928500,112639049728,238,656
2010-12-07,2843.77,2875.86,2884.53,2809.11,101184100,113049059328,691,192
2010-12-08,2868.73,2848.55,2880.56,2843.94,99224900,111757533184,286,610
2010-12-09,2837.61,2810.95,2854.7,2808.51,104740600,109956661248,131,783
2010-12-10,2798.74,2841.04,2850.42,2792.52,92410200,99589226496,798,108
2010-12-13,2850.33,2922.95,2923.77,2847.66,144036300,161839710208,911,7
2010-12-14,2928.3,2927.08,2933.41,2912.42,132789400,154467745792,648,247
2010-12-15,2927.26,2911.41,2939.05,2905.65,121115500,144768040960,321,566
2010-12-16,2908.87,2898.14,2921.27,2891.86,95086900,110768857088,342,543
2010-12-17,2896.77,2893.74,2898.81,2881,81044800,94717992960,461,422
2010-12-20,2901.47,2852.92,2911.56,2804.56,133646200,148829650944,189,723
2010-12-21,2857.59,2904.11,2908.17,2846.63,126443400,138778656768,765,145
2010-12-22,2910.73,2877.9,2917.2,2867.05,111527700,127590596608,237,676
2010-12-23,2874.2,2855.22,2893.71,2849.84,101062500,110854176768,143,755
2010-12-24,2841.35,2835.16,2853.49,2813.5,94833600,97556463616,185,701
2010-12-27,2842.81,2781.4,2876.81,2774.54,113573300,125178019840,76,834
2010-12-28,2768.03,2732.99,2775.15,2730.41,99402200,98704146432,107,800
2010-12-29,2735.48,2751.53,2753.03,2721.48,73072700,77247209472,768,125
2010-12-30,2751.97,2759.58,2768.13,2724.54,83045200,87203594240,423,468
2010-12-31,2759.16,2808.08,2808.93,2758.13,94574600,109728227328,887,33
2011-01-04,2825.33,2852.65,2855.4,2810.11,122603700,147099287552,824,94
2011-01-05,2833.12,2838.59,2850.49,2824.3,115080000,136605556736,454,432
2011-01-06,2838.43,2824.2,2853.88,2816.95,93262300,114393079808,381,518
2011-01-07,2820.66,2838.8,2868.01,2807.87,130892400,139308482560,468,431
2011-01-10,2832.62,2791.81,2847.36,2786.86,102350500,112231858176,102,825
2011-01-11,2783.48,2804.05,2810.76,2770.34,91000700,95790473216,406,499
2011-01-12,2811.79,2821.31,2828.47,2788.13,88306800,89286860800,656,255
2011-01-13,2830.53,2827.71,2837.53,2810.87,82491700,88898904064,372,531
2011-01-14,2817.05,2791.34,2817.05,2780.44,84545700,91633254400,144,774
2011-01-17,2772.45,2706.66,2780.94,2698.78,108833400,106820714496,62,873
2011-01-18,2696.15,2708.98,2715.41,2683.37,69954600,68839817216,581,319
2011-01-19,2707.82,2758.1,2759.6,2700.81,88787800,90985005056,908,24
2011-01-20,2752.8,2677.65,2752.8,2676.13,96939700,96876167168,64,860
2011-01-21,2668.68,2715.29,2746.18,2667.29,110451900,104579031040,721,194
2011-01-24,2716.52,2695.72,2736.11,2690.65,97761200,97331437568,227,672
2011-01-25,2691.69,2677.43,2701.04,2661.45,79592200,76698460160,261,649
2011-01-26,2677.17,2708.81,2710.74,2676.77,67051800,68095148032,874,45
2011-01-27,2690.82,2749.15,2753,2677.21,117284200,116641243136,777,130
2011-01-28,2741.31,2752.75,2759.44,2733.29,91330300,99291856896,667,220
2011-01-31,2751.53,2790.69,2790.92,2748.54,98398400,107657560064,781,127
2011-02-01,2795.07,2798.96,2805.05,2785.3,78654500,90772496384,455,452
2011-02-09,2778.7,2774.07,2804.21,2764.87,95661000,105899646976,315,615
2011-02-10,2769.65,2818.16,2819.06,2760.18,106859900,118279651328,890,47
